example_id,conversation_id,customer_message,conversation_context,intent,expected_action,escalation_reason,historical_resolution,review_status,annotation_notes,proposed_intent,proposed_expected_action,proposed_escalation_reason,reviewed_by,reviewed_at,ai_proposed_intent,ai_proposed_expected_action,ai_proposed_escalation_reason,ai_confidence,ai_agrees_with_candidate
SPOT-GOLD-001,1009265,Hey @SpotifyCares will you create a personalized playlist for me? Pretty please,None (thread root),playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,@358812 Hi there! Let us know the artists or genre you love. We'll see what we can do /QI,VERIFIED,AI Proposal based on Phase 2 taxonomy.,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:58:43.654100,,,,,
SPOT-GOLD-002,393165,@SpotifyCares why does my Spotify stop playing while offline? It is songs I've downloaded and haven't had the issue until yesterday.,None (thread root),offline_listening_and_downloads,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,"@209114 Hey Jay! We just sent you a reply to your DM, so we'll continue assisting you there /TF",VERIFIED,"The issue specifically concerns downloaded songs failing during offline playback. It is a single primary issue, not multi-intent. Historical response redirects the customer to DM for further assistance.",multi_intent,ESCALATE_TO_HUMAN_DM,COMPLEX_MULTI_ISSUE_ACCOUNT_AUDIT,human,2026-09-13T13:52:51.505413,,,,,
SPOT-GOLD-003,2227255,@SpotifyCares iOS 11.2 + there’s no specific messages or anything; the music just stops completely,Prior Turn [SpotifyCares (2227256)]: @218471 Thanks. Which iOS version are you running? Are you getting any specific error messages? A screenshot would come in handy /MV,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@218471 Can you try logging out and back in? If that doesn’t work, try restarting your device. Let us know how you get on /MV",VERIFIED,"Candidate intent: playback_and_audio. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)",playback_and_audio,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T13:53:33.766957,,,,,
SPOT-GOLD-004,155376,@115888 hey there! I purchased a year subscription as a gift to be delivered on 11/18 and the email never was received. Could I please have it resent?,None (thread root),multi_intent,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,@151641 Hi there! Can you let us know your account's email address or username? A screenshot of the receipt will also be super helpful. We'll take a look /GT,VERIFIED,"Multiple intertwined issues involving subscription billing and account/email verification. Resending the gift subscription requires private account verification, so escalate to human DM.",multi_intent,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T13:54:12.173463,,,,,
SPOT-GOLD-005,412346,@SpotifyCares Yes I was I didn’t have a choice to skip it,"Prior Turn [SpotifyCares (412343)]: @213385 Thanks for confirming. Just to check, were you able to watch the video ad in full after hearing the offer? /GK",playback_and_audio,DIRECT_TROUBLESHOOT,N/A,@213385 That's strange. We'll get this passed on to our devs so they can look into it. Give us a shout if you need anything else /LO,VERIFIED,Candidate intent: playback_and_audio. Customer reports being unable to skip the video ad; no private account verification is required. Direct troubleshooting is appropriate.,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T13:54:43.931242,,,,,
SPOT-GOLD-006,1896463,"Wtf @115888, I'm walking listening with my headphones then the music stops and says I'm listening to music on Lucas's iPhone?",None (thread root),playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@210388 Hey Luce, help's here. Could you DM us your account's email address or username? We'll take a look under the hood /AY https://t.co/ldFdZRiNAt",VERIFIED,Candidate intent: playback_and_audio. Standard client-side troubleshooting failed; agent requests account info for backend logs,playback_and_audio,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,human,2026-09-13T14:28:12.064366,,,,,
SPOT-GOLD-007,574273,@SpotifyCares  i recently got premium but then my plan ended a week after I had set my plan. Please contact me asap.,None (thread root),subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,@255069 Hey there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,VERIFIED,Candidate intent: subscription_and_billing. Requires private transaction details or billing system lookup,subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,human,2026-09-13T14:28:16.499614,,,,,
SPOT-GOLD-008,1782720,@SpotifyCares just signed up for premium family plan my daughter cannot accept invite. We are both being treated as the plan admin.,None (thread root),subscription_and_billing,INFO_PROVISION,N/A,"@535597 Hey there! The cavalry's here. Could you fire over your daughter's email address or username, as well as yours? We'll check backstage /KB",VERIFIED,"Candidate intent: subscription_and_billing. Explain subscription tier, family plan invite rules, or student discount criteria",subscription_and_billing,INFO_PROVISION,N/A,human,2026-09-13T14:28:17.868590,,,,,
SPOT-GOLD-009,2346340,@SpotifyCares listen spotify ima need y’all to make a way i can edit and tap multiple songs at a time and add them to a playlist instead of having to add them individually plz help me,None (thread root),playlist_library_and_curation,INFO_PROVISION,N/A,@678425 We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /DF,VERIFIED,"Candidate intent: playlist_library_and_curation. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)",playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T14:28:21.892113,,,,,
SPOT-GOLD-010,265579,"@SpotifyCares I can't listen to any Daft Punk song on either spotify web, android app or desktop, any solution?",None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,"@179263 Hey Armando, we're here to help! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /TB",VERIFIED,"Candidate intent: music_catalog_and_content. Explain regional licensing rights, explicit track filtering, or content availability",music_catalog_and_content,INFO_PROVISION,N/A,human,2026-09-13T14:28:23.296105,,,,,
SPOT-GOLD-011,2344401,@SpotifyCares why is this even a thing? Translated to english it means i got a download limit... Why? https://t.co/35ABzgy9ko,None (thread root),offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,"@677980 Hi Michaël! You can download up to 3,333 songs per device, on a maximum of 3 different devices. No worries. We'll pass your feedback onto the right team. Let us know if you have other questions /DV",VERIFIED,"Candidate intent: offline_listening_and_downloads. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)",offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T14:29:44.785236,,,,,
SPOT-GOLD-012,2915271,"@SpotifyCares If this was a custom response with the ""backstage"" because I talked about showtunes, you really broke a leg here 👏🙌","Prior Turn [SpotifyCares (2915269)]: @806973 Hey Brian! We had a little hiccup backstage, but it should be working now. We're here if you need us /LP",service_outage_and_status,INFO_PROVISION,N/A,"@806973 Haha, good one! https://t.co/m4HWSbgHVZ 🙂 /JS",VERIFIED,Candidate intent: service_outage_and_status. Acknowledge known platform issue/outage and inform customer engineers are restoring service,service_outage_and_status,INFO_PROVISION,N/A,human,2026-09-13T14:30:41.166205,,,,,
SPOT-GOLD-013,1255455,@SpotifyCares I pay a monthly fee for this but now can't download any other music to listen to on the go. I'm paying to not be able to do something. (3),Prior Turn [SpotifyCares (1255451)]: @414370 2: We'll pass your feedback on to the right folks. We're here for you if there's anything else /YM,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,@414370 3. offline tracks by removing the songs you rarely listen to at the moment and downloading the new ones /YM,VERIFIED,"Candidate intent: offline_listening_and_downloads. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)",offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T14:30:43.667913,,,,,
SPOT-GOLD-014,2766475,@SpotifyCares I've restarted it and.logged out it's still the same:(,Prior Turn [SpotifyCares (2766466)]: @773664 Got it. Could you also let us know the Android version you're running? We'll check it out /RC,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,@773664 Does the same thing happen when using a different device? /RC,VERIFIED,Candidate intent: account_access_and_login. Provide public password reset link or credential troubleshooting,account_access_and_login,INFO_PROVISION,N/A,human,2026-09-13T14:31:29.952290,,,,,
SPOT-GOLD-015,2855915,About to get rid of @115888 . Sick of my music muting/freezing all the time😤😤😤😤😤😤,None (thread root),app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,"@793823 Hey Amber! We're sorry to hear that. Can you let us know the device, operating system, and Spotify version you’re using? /SJ",VERIFIED,"Candidate intent: app_crash_and_performance. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)",app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T14:31:30.816015,,,,,
SPOT-GOLD-016,1951054,@SpotifyCares just found out there's an Upside-Down version of my spotify... PLEASE NEVER GET RID OF IT MY INNER ST FANGIRL IS FREAKING OUT!,None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,"@579457 Hi, we're glad you like it! You can also match your Spotify listening to a Stranger Things character here: https://t.co/1tKmV87bVJ 😉 /TY",VERIFIED,Candidate intent: service_outage_and_status. Acknowledge known platform issue/outage and inform customer engineers are restoring service,service_outage_and_status,INFO_PROVISION,N/A,human,2026-09-13T14:33:01.474944,,,,,
SPOT-GOLD-017,2004786,"@SpotifyCares I’ll DM you, I don’t want to offend people who love this wretched song 😒","Prior Turn [SpotifyCares (2004784)]: @592840 Hi Gabrielle! Can you let us know the device, OS, and Spotify version you're using? Also, what is the name of the song you upvoted? /MT",music_catalog_and_content,INFO_PROVISION,N/A,"@592840 It's all right, we understand. Just click the DM link we've attached here. We'll carry on chatting there /MT https://t.co/ldFdZRiNAt",VERIFIED,"Candidate intent: music_catalog_and_content. Explain regional licensing rights, explicit track filtering, or content availability",music_catalog_and_content,INFO_PROVISION,N/A,human,2026-09-13T14:33:02.559581,,,,,
SPOT-GOLD-018,2851474,@SpotifyCares every time I try to sync the songs I have on my laptop to Spotify I ALWAYS have a problem when they won’t sync and show up on my iPhone app!,None (thread root),offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,@564087 Hey! Can you try the troubleshooting steps on the FAQ section of this link: https://t.co/SgMwFS1ONz? Let us know how it goes /SJ,VERIFIED,"Candidate intent: offline_listening_and_downloads. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)",offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T14:33:03.651984,,,,,
SPOT-GOLD-019,1909606,@SpotifyCares How y’all gon let me pay 10 a month and delete my fav song https://t.co/R97xuY7Ekn,Prior Turn [SpotifyCares (1909603)]: @568871 Hey there! Can you let us know what's happening exactly? We'll see what we can suggest /PL,music_catalog_and_content,INFO_PROVISION,N/A,@568871 Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /PL,VERIFIED,"Candidate intent: music_catalog_and_content. Explain regional licensing rights, explicit track filtering, or content availability",music_catalog_and_content,INFO_PROVISION,N/A,human,2026-09-13T14:33:04.266331,,,,,
SPOT-GOLD-020,77694,"@115888 Rp 4.990 using credit card? please i think most of spotify user are student and teenager. dear spotify id, please don't be like this",Prior Turn [Customer (77694)]: 3 bulan Premium hanya Rp 4.990. Putar musik offline di mana saja. https://t.co/OaXjQ0a5lO,subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,@480819 Hey there! Can you tell us what's happening exactly? We'll see what we can suggest /CH,VERIFIED,Candidate intent: subscription_and_billing. Requires private transaction details or billing system lookup,subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,human,2026-09-13T14:33:30.145053,,,,,
SPOT-GOLD-021,2920753,Why is my @115888 down? 🤷🏼‍♂️😩,None (thread root),service_outage_and_status,INFO_PROVISION,N/A,"@808365 Hey, thanks for the report. We had a little hiccup earlier but everything should be running just fine now /CE",VERIFIED,Candidate intent: service_outage_and_status. Acknowledge known platform issue/outage and inform customer engineers are restoring service,service_outage_and_status,INFO_PROVISION,N/A,human,2026-09-13T14:34:39.901800,,,,,
SPOT-GOLD-022,1429869,"@115888, long time premium customer here. Is multiroom coming soon for @115821 Echo/Alexa? Will be sad if I have to switch music providers",None (thread root),playback_and_audio,INFO_PROVISION,N/A,"@452082 Hi there! We don't have any info to share about this right now, but you can vote for the idea here: https://t.co/248j19QkbF /PL",VERIFIED,"Candidate intent: subscription_and_billing. Explain subscription tier, family plan invite rules, or student discount criteria",subscription_and_billing,INFO_PROVISION,N/A,human,2026-09-13T14:34:49.779716,,,,,
