example_id,conversation_id,customer_message,conversation_context,intent,expected_action,escalation_reason,historical_resolution,review_status,annotation_notes
SPOT-GOLD-001,1009265,Hey @SpotifyCares will you create a personalized playlist for me? Pretty please,None (thread root),playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,@358812 Hi there! Let us know the artists or genre you love. We'll see what we can do /QI,PENDING_HUMAN_REVIEW,"Candidate intent: playlist_library_and_curation. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-002,393165,@SpotifyCares why does my Spotify stop playing while offline? It is songs I've downloaded and haven't had the issue until yesterday.,None (thread root),multi_intent,ESCALATE_TO_HUMAN_DM,COMPLEX_MULTI_ISSUE_ACCOUNT_AUDIT,"@209114 Hey Jay! We just sent you a reply to your DM, so we'll continue assisting you there /TF",PENDING_HUMAN_REVIEW,Candidate intent: multi_intent. Multiple intertwined issues requiring private account inspection
SPOT-GOLD-003,2227255,@SpotifyCares iOS 11.2 + there’s no specific messages or anything; the music just stops completely,Prior Turn [SpotifyCares (2227256)]: @218471 Thanks. Which iOS version are you running? Are you getting any specific error messages? A screenshot would come in handy /MV,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@218471 Can you try logging out and back in? If that doesn’t work, try restarting your device. Let us know how you get on /MV",PENDING_HUMAN_REVIEW,"Candidate intent: playback_and_audio. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-004,155376,@115888 hey there! I purchased a year subscription as a gift to be delivered on 11/18 and the email never was received. Could I please have it resent?,None (thread root),multi_intent,DIRECT_TROUBLESHOOT,N/A,@151641 Hi there! Can you let us know your account's email address or username? A screenshot of the receipt will also be super helpful. We'll take a look /GT,PENDING_HUMAN_REVIEW,Candidate intent: multi_intent. Acknowledge primary symptom and offer initial isolation steps
SPOT-GOLD-005,412346,@SpotifyCares Yes I was I didn’t have a choice to skip it,"Prior Turn [SpotifyCares (412343)]: @213385 Thanks for confirming. Just to check, were you able to watch the video ad in full after hearing the offer? /GK",playback_and_audio,DIRECT_TROUBLESHOOT,N/A,@213385 That's strange. We'll get this passed on to our devs so they can look into it. Give us a shout if you need anything else /LO,PENDING_HUMAN_REVIEW,"Candidate intent: playback_and_audio. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-006,1896463,"Wtf @115888, I'm walking listening with my headphones then the music stops and says I'm listening to music on Lucas's iPhone?",None (thread root),playback_and_audio,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,"@210388 Hey Luce, help's here. Could you DM us your account's email address or username? We'll take a look under the hood /AY https://t.co/ldFdZRiNAt",PENDING_HUMAN_REVIEW,Candidate intent: playback_and_audio. Standard client-side troubleshooting failed; agent requests account info for backend logs
SPOT-GOLD-007,574273,@SpotifyCares  i recently got premium but then my plan ended a week after I had set my plan. Please contact me asap.,None (thread root),subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,@255069 Hey there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,PENDING_HUMAN_REVIEW,Candidate intent: subscription_and_billing. Requires private transaction details or billing system lookup
SPOT-GOLD-008,1782720,@SpotifyCares just signed up for premium family plan my daughter cannot accept invite. We are both being treated as the plan admin.,None (thread root),subscription_and_billing,INFO_PROVISION,N/A,"@535597 Hey there! The cavalry's here. Could you fire over your daughter's email address or username, as well as yours? We'll check backstage /KB",PENDING_HUMAN_REVIEW,"Candidate intent: subscription_and_billing. Explain subscription tier, family plan invite rules, or student discount criteria"
SPOT-GOLD-009,2346340,@SpotifyCares listen spotify ima need y’all to make a way i can edit and tap multiple songs at a time and add them to a playlist instead of having to add them individually plz help me,None (thread root),playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,@678425 We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /DF,PENDING_HUMAN_REVIEW,"Candidate intent: playlist_library_and_curation. Provide step-by-step diagnostic steps (restart device, clear cache, clean reinstall, check storage)"
SPOT-GOLD-010,265579,"@SpotifyCares I can't listen to any Daft Punk song on either spotify web, android app or desktop, any solution?",None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,"@179263 Hey Armando, we're here to help! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /TB",PENDING_HUMAN_REVIEW,"Candidate intent: music_catalog_and_content. Explain regional licensing rights, explicit track filtering, or content availability"
