example_id,customer_message,intent,expected_action,escalation_reason,agent_intent,agent_action,agent_response,human_relevance,human_correctness,human_grounding,human_policy,human_safety,human_tone,human_composite_score,human_passed,human_notes
SPOT-GOLD-052,@SpotifyCares hey I need help. I forgot the email I used to sign in I know the password is there anything you could do,account_access_and_login,INFO_PROVISION,N/A,account_access_and_login,INFO_PROVISION,Hi there! You can request a password reset link at https://spotify.com/password-reset. Be sure to check your spam and junk folders if the email doesn't appear in your inbox /AY,5,5,5,5,1,5,4.4,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-060,@115888 I can't login to my account on my computer! The link won't send me an email to update/change my password--nor in my spam folder,account_access_and_login,INFO_PROVISION,N/A,account_access_and_login,INFO_PROVISION,Hi there! You can request a password reset link at https://spotify.com/password-reset. Be sure to check your spam and junk folders if the email doesn't appear in your inbox /AY,5,5,5,5,1,5,4.4,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-066,@SpotifyCares you might want to check your upcoming concerts near you email @2235 playing Leicester... click through... cover band?!,account_access_and_login,INFO_PROVISION,N/A,account_access_and_login,INFO_PROVISION,Hi there! You can request a password reset link at https://spotify.com/password-reset. Be sure to check your spam and junk folders if the email doesn't appear in your inbox /AY,5,5,5,5,1,5,4.4,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-078,@SpotifyCares hopefully you can help me figure out my problem with logging in,account_access_and_login,INFO_PROVISION,N/A,account_access_and_login,INFO_PROVISION,Hi! We've replied to your DM. Let's continue chatting there /AY,5,5,3,5,5,5,4.7,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-025,"@115888 noticed on my desktop app that the release date is no longer showing, is this due to a random update?",ambiguous_vague,CLARIFICATION_PROMPT,N/A,ambiguous_vague,CLARIFICATION_PROMPT,"Hey! Help's here. Could you let us know what device, operating system, and Spotify version you're running, and what's happening exactly? We'll see what we can suggest /AY",5,5,3,5,5,5,4.7,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-041,@SpotifyCares hey there i cant use search it does not work can you help? Im on ios 11.1.2 iphone 7plus and latest spotify,ambiguous_vague,CLARIFICATION_PROMPT,N/A,ambiguous_vague,CLARIFICATION_PROMPT,"Hey! Help's here. Could you let us know what device, operating system, and Spotify version you're running, and what's happening exactly? We'll see what we can suggest /AY",5,5,3,5,5,5,4.7,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-064,Trying to get allll my songs back on Spotify why did they all erase😭 @115888 f u,ambiguous_vague,CLARIFICATION_PROMPT,N/A,ambiguous_vague,CLARIFICATION_PROMPT,"Hey! Help's here. Could you let us know what device, operating system, and Spotify version you're running, and what's happening exactly? We'll see what we can suggest /AY",5,5,3,5,5,5,4.7,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-014,@SpotifyCares I've restarted it and.logged out it's still the same:(,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,account_access_and_login,INFO_PROVISION,Hi! We've replied to your DM. Let's continue chatting there /AY,2,3,3,4,5,5,3.5,False,"Intent mismatch (True: app_crash_and_performance, Pred: account_access_and_login). Action mismatch (True: DIRECT_TROUBLESHOOT, Pred: INFO_PROVISION)."
SPOT-GOLD-015,About to get rid of @115888 . Sick of my music muting/freezing all the time😤😤😤😤😤😤,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,app_crash_and_performance,DIRECT_TROUBLESHOOT,Hey! Try heading to Settings > Storage and tap 'Delete Cache'. This clears temporary data without removing your downloaded music. Does that help? /AY,5,5,4,5,5,5,4.85,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-023,"Hey @SpotifyCares I wanted to play some music and while I was listening to my computer accidentally shut off during an ad, so I turn it back on and I load up the web player and it is frozen on the ad and I can't listen to my music. Every time I press play on a song, it won't work",app_crash_and_performance,INFO_PROVISION,N/A,ambiguous_vague,CLARIFICATION_PROMPT,"Hey! Help's here. Could you let us know what device, operating system, and Spotify version you're running, and what's happening exactly? We'll see what we can suggest /AY",3,3,3,4,5,5,3.7,False,"Intent mismatch (True: app_crash_and_performance, Pred: ambiguous_vague). Action mismatch (True: INFO_PROVISION, Pred: CLARIFICATION_PROMPT)."
SPOT-GOLD-035,"@SpotifyCares I am unable to ""share"" anything. The app crashes when I try",app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,app_crash_and_performance,DIRECT_TROUBLESHOOT,"Hey Scott! What device, operating system, and Spotify version are you using? Are you getting any specific error messages? /AY",5,5,3,5,5,5,4.7,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-004,@115888 hey there! I purchased a year subscription as a gift to be delivered on 11/18 and the email never was received. Could I please have it resent?,multi_intent,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,multi_intent,DIRECT_TROUBLESHOOT,"Hey! 2: Thanks for sharing your thoughts, we'll pass it on to the relevant folks /AY",5,2,3,1,5,5,3.3,False,"Action mismatch (True: ESCALATE_TO_HUMAN_DM, Pred: DIRECT_TROUBLESHOOT)."
SPOT-GOLD-045,".@115888 quit fucking around and drop the new glassjaw already, i'm in lizard squad i'll tango down u",multi_intent,DIRECT_TROUBLESHOOT,N/A,multi_intent,DIRECT_TROUBLESHOOT,"Hey! 2: Thanks for sharing your thoughts, we'll pass it on to the relevant folks /AY",5,5,3,5,5,5,4.7,True,"High quality, policy-compliant response with authentic brand tone."
SPOT-GOLD-160,"@SpotifyCares I was just wondering if (and if so why) the album ""revenge"" by xxxtentacion was taken down???? :))",multi_intent,DIRECT_TROUBLESHOOT,N/A,multi_intent,DIRECT_TROUBLESHOOT,"Hi Jessica, help's here! Can you DM us your account's email address or username? Also, let us know your device's make/model, operating system, and Spotify version. We'll see what we can suggest /GT https://t.co/ldFdZRiNAt /AY",5,5,5,5,5,5,5.0,True,"High quality, policy-compliant response with authentic brand tone."
